TIMOCHARIS,,,,,,,,,LAMBERT,,,,,,,,,EULER,,,,,,,,,REINER,,,,,,,,,MARIUS A,,,,,,,,,BESSARION A,,,,,,,,,DELISLE,,,,,,,,,BANCROFT,,,,,,,,,PYTHEAS,,,,,,,,,LE VERRIER,,,,,,,
WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat,,WE,TerrainHeight,lon,lat,NS,TerrainHeight,lon,lat
0.00,-2225,-16.00,26.75,0.00,-2163,-13.07,24.07,,0.00,-1743,-23.56,25.76,0.00,-2039,-20.98,28.16,,0.00,-1343,-31.63,23.25,0.00,-1499,-29.12,25.57,,0.00,-1863,-57.34,6.89,0.00,-1498,9.28,0.00,,0.00,-1652,-45.97,14.87,0.00,-1430,12.59,0.00,,0.00,-1403,-39.88,19.22,0.00,-1489,-42.05,17.11,,0.00,-2033,-34.64,32.29,0.00,-1843,-37.27,29.94,,0.00,-2293,-9.05,28.09,0.00,-2409,-6.44,30.48,,0.00,-1635,-22.50,19.63,0.00,-1733,-22.27,22.20,,0.00,-2455,-22.28,42.21,0.00,-2414,-22.88,38.85
0.35,-2227,-15.98,26.75,0.35,-2176,-13.07,24.08,,0.20,-1743,-23.55,25.76,0.20,-2038,-20.98,28.16,,0.20,-1343,-31.62,23.25,0.20,-1499,-29.12,25.57,,0.20,-1862,-57.33,6.89,0.20,-1481,9.27,0.20,,0.20,-1652,-45.97,14.87,0.20,-1433,12.59,0.20,,0.20,-1405,-39.88,19.21,0.20,-1481,-42.05,17.11,,0.20,-2033,-34.64,32.28,0.20,-1847,-37.27,29.94,,0.20,-2291,-9.04,28.09,0.20,-2409,-6.44,30.47,,0.20,-1636,-22.49,19.64,0.20,-1731,-22.26,22.19,,0.20,-2456,-22.28,42.21,0.20,-2413,-22.88,38.86
0.69,-2229,-15.97,26.75,0.69,-2173,-13.07,24.09,,0.40,-1743,-23.54,25.76,0.40,-2036,-20.98,28.15,,0.40,-1342,-31.61,23.25,0.40,-1500,-29.12,25.56,,0.40,-1864,-57.33,6.89,0.40,-1480,9.26,0.40,,0.40,-1652,-45.97,14.86,0.40,-1435,12.59,0.40,,0.40,-1406,-39.88,19.20,0.40,-1470,-42.04,17.11,,0.40,-2031,-34.64,32.28,0.40,-1847,-37.26,29.94,,0.40,-2291,-9.03,28.09,0.40,-2410,-6.44,30.47,,0.40,-1638,-22.49,19.64,0.40,-1731,-22.26,22.19,,0.40,-2458,-22.27,42.20,0.40,-2412,-22.87,38.86
1.04,-2229,-15.96,26.75,1.04,-2146,-13.07,24.10,,0.60,-1742,-23.53,25.76,0.60,-2033,-20.98,28.14,,0.60,-1343,-31.60,23.25,0.60,-1499,-29.12,25.55,,0.60,-1864,-57.32,6.89,0.60,-1495,9.26,0.60,,0.60,-1652,-45.97,14.85,0.60,-1435,12.59,0.60,,0.60,-1405,-39.88,19.20,0.60,-1460,-42.03,17.11,,0.60,-2031,-34.64,32.27,0.60,-1848,-37.25,29.94,,0.60,-2292,-9.03,28.09,0.60,-2410,-6.44,30.46,,0.60,-1637,-22.48,19.64,0.60,-1732,-22.25,22.18,,0.60,-2458,-22.27,42.20,0.60,-2411,-22.86,38.86
1.39,-2228,-15.94,26.75,1.39,-2127,-13.07,24.12,,0.79,-1740,-23.53,25.76,0.80,-2036,-20.98,28.14,,0.80,-1343,-31.60,23.25,0.80,-1499,-29.12,25.55,,0.80,-1864,-57.31,6.89,0.80,-1517,9.25,0.80,,0.80,-1651,-45.97,14.85,0.80,-1435,12.59,0.80,,0.80,-1407,-39.88,19.19,0.80,-1457,-42.03,17.11,,0.80,-2030,-34.64,32.26,0.80,-1852,-37.24,29.94,,0.80,-2293,-9.02,28.09,0.80,-2408,-6.44,30.45,,0.80,-1636,-22.48,19.65,0.80,-1732,-22.25,22.18,,0.80,-2459,-22.26,42.19,0.80,-2409,-22.86,38.87
1.74,-2231,-15.93,26.76,1.74,-2131,-13.07,24.13,,0.99,-1741,-23.52,25.76,1.00,-2042,-20.98,28.13,,1.00,-1343,-31.59,23.25,1.00,-1500,-29.12,25.54,,1.00,-1865,-57.31,6.89,1.01,-1535,9.24,1.01,,1.00,-1650,-45.97,14.84,1.01,-1434,12.59,1.01,,1.00,-1409,-39.88,19.18,1.00,-1455,-42.02,17.11,,1.01,-2029,-34.64,32.26,1.00,-1851,-37.24,29.94,,1.00,-2293,-9.01,28.09,1.00,-2408,-6.44,30.45,,1.01,-1636,-22.47,19.65,1.01,-1731,-22.24,22.18,,1.00,-2455,-22.26,42.19,1.00,-2410,-22.85,38.87
2.08,-2236,-15.92,26.76,2.08,-2139,-13.07,24.14,,1.19,-1741,-23.51,25.76,1.20,-2039,-20.98,28.12,,1.20,-1343,-31.58,23.25,1.20,-1498,-29.12,25.53,,1.20,-1864,-57.30,6.89,1.21,-1541,9.24,1.21,,1.20,-1650,-45.97,14.83,1.21,-1433,12.59,1.21,,1.20,-1407,-39.88,19.18,1.21,-1449,-42.01,17.11,,1.21,-2031,-34.64,32.25,1.20,-1849,-37.23,29.94,,1.20,-2293,-9.00,28.09,1.20,-2406,-6.44,30.44,,1.21,-1639,-22.46,19.65,1.21,-1732,-22.24,22.17,,1.20,-2454,-22.25,42.18,1.20,-2413,-22.85,38.88
2.43,-2235,-15.90,26.76,2.43,-2141,-13.07,24.15,,1.39,-1743,-23.50,25.76,1.41,-2033,-20.98,28.12,,1.40,-1344,-31.58,23.25,1.40,-1498,-29.12,25.53,,1.40,-1865,-57.29,6.89,1.41,-1538,9.23,1.41,,1.40,-1648,-45.97,14.83,1.41,-1432,12.59,1.41,,1.40,-1408,-39.88,19.17,1.41,-1447,-42.00,17.11,,1.41,-2030,-34.64,32.24,1.40,-1850,-37.22,29.94,,1.40,-2294,-9.00,28.09,1.41,-2404,-6.44,30.43,,1.41,-1639,-22.46,19.66,1.41,-1734,-22.23,22.17,,1.40,-2457,-22.25,42.18,1.40,-2415,-22.84,38.88
2.78,-2238,-15.89,26.76,2.78,-2148,-13.07,24.17,,1.59,-1744,-23.50,25.76,1.61,-2031,-20.98,28.11,,1.60,-1344,-31.57,23.25,1.61,-1499,-29.12,25.52,,1.60,-1863,-57.29,6.89,1.61,-1535,9.22,1.61,,1.60,-1649,-45.97,14.82,1.61,-1433,12.59,1.61,,1.60,-1408,-39.88,19.16,1.61,-1448,-42.00,17.11,,1.61,-2031,-34.64,32.24,1.60,-1851,-37.21,29.94,,1.60,-2295,-8.99,28.09,1.61,-2404,-6.44,30.43,,1.61,-1639,-22.45,19.66,1.61,-1732,-22.23,22.16,,1.60,-2456,-22.24,42.17,1.60,-2413,-22.83,38.89
3.13,-2243,-15.87,26.76,3.13,-2153,-13.07,24.18,,1.79,-1742,-23.49,25.76,1.81,-2031,-20.98,28.10,,1.81,-1343,-31.56,23.25,1.81,-1497,-29.12,25.51,,1.80,-1861,-57.28,6.89,1.81,-1538,9.22,1.81,,1.80,-1650,-45.97,14.81,1.81,-1434,12.59,1.81,,1.80,-1407,-39.88,19.16,1.81,-1449,-41.99,17.11,,1.81,-2033,-34.64,32.23,1.80,-1853,-37.21,29.94,,1.80,-2295,-8.98,28.09,1.81,-2407,-6.44,30.42,,1.81,-1643,-22.45,19.66,1.81,-1732,-22.22,22.16,,1.80,-2456,-22.24,42.16,1.81,-2414,-22.83,38.89
